,country_id,country_name,location_id,location_name,lat,lon,region_name
1,264,France,2,Austral Islands,-23.0,-150.0,Pacific Ocean
7,264,France,8,Chesterfield Islands,-19.35,158.666667,Pacific Ocean
9,264,France,10,Clipperton Island,10.284842,-109.2162498,Pacific Ocean
14,976,United Kingdom,15,Ducie Island,-24.6807263,-124.787888,Pacific Ocean
18,264,France,19,Gambier Islands,-23.1096583,-134.9743477,Pacific Ocean
21,976,United Kingdom,22,Henderson Island,-24.3743769,-128.3271112,Pacific Ocean
32,264,France,33,Loyalty Islands,-21.0,167.0,Pacific Ocean
33,264,France,34,Marquesas Islands,-9.7812162,-139.0817124,Pacific Ocean
40,264,France,41,New Caledonia (mainland),-20.904305,165.618042,Pacific Ocean
48,976,United Kingdom,50,Oeno Island,-23.9229874,-130.7411998,Pacific Ocean
55,976,United Kingdom,57,Pitcairn Island,-25.0696495,-130.1229696,Pacific Ocean
64,264,France,66,Society Islands,-17.0,-150.0,Pacific Ocean
73,264,France,75,Tuamotu Islands,-27.5666667,-144.3166667,Pacific Ocean
78,264,France,80,Wallis and Futuna Islands,-13.2959105,-176.2056843,Pacific Ocean
136,264,France,138,St. Pierre and Miquelon,46.8852,-56.3159,North America
165,264,France,169,French Guiana,3.9338889999999997,-53.125782,South America
175,976,United Kingdom,179,Anguilla,18.220554,-63.068615,Caribbean
177,301,Netherlands,181,Aruba,12.52111,-69.968338,Caribbean
182,301,Netherlands,186,Bonaire,12.1783611,-68.2385339,Caribbean
183,976,United Kingdom,187,Cayman Islands,19.3133,-81.2546,Caribbean
185,301,Netherlands,189,Curacao,12.16957,-68.99002,Caribbean
192,264,France,196,Guadeloupe (and Deps.),16.265,-61.551,Caribbean
196,264,France,200,Martinique,14.641528,-61.024174,Caribbean
197,976,United Kingdom,201,Montserrat,16.742498,-62.187366,Caribbean
202,301,Netherlands,206,Saba,17.6354642,-63.2326763,Caribbean
204,264,France,208,St. Barths,17.9005134,-62.8205871,Caribbean
206,301,Netherlands,210,St. Eustatius,17.4890306,-62.973555,Caribbean
209,301,Netherlands,213,St. Maarten,18.0412155,-63.0530733,Caribbean
210,264,France,214,St. Martin,18.0412155,-63.0530733,Caribbean
214,976,United Kingdom,218,Turks and Caicos Islands,21.783333,-71.733333,Atlantic Ocean
216,976,United Kingdom,220,British Virgin Islands,18.420695,-64.639968,Caribbean
217,976,United Kingdom,221,Ascension Island,-7.9467166,-14.3559158,Atlantic Ocean
218,305,Portugal,222,Azores,37.7412488,-25.6755944,Atlantic Ocean
219,976,United Kingdom,223,Bermuda,32.3078,-64.7505,Atlantic Ocean
220,965,Spain,224,Canary Islands,28.2915637,-16.6291304,Atlantic Ocean
222,976,United Kingdom,226,Falkland Islands,-51.796253,-59.523613,Atlantic Ocean
224,258,Denmark,228,Faroe Islands,61.892635,-6.91180600000007,Europe
225,258,Denmark,229,Greenland,76.706936,-42.604303,Atlantic Ocean
227,305,Portugal,231,Madeira,32.7607074,-16.9594723,Atlantic Ocean
228,976,United Kingdom,232,St. Helena,-15.95,-5.7166666,Atlantic Ocean
231,976,United Kingdom,235,Tristan da Cunha,-37.1052489,-12.2776838,Atlantic Ocean
232,935,Finland,236,Aland Islands,60.1785247,19.9156105,Europe
234,976,United Kingdom,238,Alderney,49.7162101,-2.20287289999999,Europe
236,240,Austria,240,Austria,47.516231,14.550072,Europe
237,965,Spain,241,Balearic Islands,39.5,3.0,Europe
241,976,United Kingdom,246,Sovereign Base Areas (Cyprus),34.616666,32.966666599999996,Europe
242,247,Bulgaria,247,Bulgaria,42.733883,25.48583,Europe
243,937,Germany,248,Busingen,47.6960007,8.68895429999998,Europe
244,942,Italy,249,Campione d'Italia,45.9697192,8.97131960000002,Europe
245,965,Spain,250,Catalonia,41.591158899999996,1.52086239999994,Europe
246,264,France,251,Corsica,42.0396042,9.01289259999999,Europe
247,938,Greece,252,Crete,35.240117,24.8092690999999,Europe
249,927,Croatia,254,Croatia (other),45.1,15.2,Europe
250,928,Cyprus,255,Republic of Cyprus,35.126413,33.429859,Europe
251,928,Cyprus,256,Turkish Republic of Northern Cyprus,35.3504645,33.6995315,Europe
252,257,Czech Republic,257,Czech Republic,49.817492,15.4729620000001,Europe
253,258,Denmark,258,Denmark,56.26392,9.50178500000004,Europe
254,938,Greece,259,Dodecanese Islands,36.43333,27.383333,Europe
255,976,United Kingdom,260,England,52.3555177,-1.17431970000007,Europe
256,261,Estonia,261,Estonia,58.595272,25.013607,Europe
257,965,Spain,262,Euskadi (Basque Country),42.9896248,-2.6189273,Europe
258,935,Finland,263,Finland (mainland),64.916666,27.0666666,Europe
260,965,Spain,266,Galicia,42.5750554,-8.13385579999999,Europe
261,937,Germany,267,"Germany, Eastern",-52.616666,13.0166666,Europe
262,937,Germany,268,Germany (other),-51.183333,8.95,Europe
263,976,United Kingdom,269,Gibraltar,36.140751,-5.35358500000007,Europe
264,938,Greece,270,Greece (other),39.074208,21.824312,Europe
265,976,United Kingdom,271,Guernsey,49.465691,-2.58527800000002,Europe
266,976,United Kingdom,272,Herm,49.472872,-2.44921320000003,Europe
267,273,Hungary,273,Hungary,47.162494,19.5033040000001,Europe
268,938,Greece,274,Ionian Islands,38.5,20.5,Europe
270,976,United Kingdom,276,Northern Ireland,54.7877149,-6.49231450000002,Europe
271,976,United Kingdom,277,Isle of Man,54.236107,-4.54805599999997,Europe
272,927,Croatia,278,Istria,45.0,14.0,Europe
273,942,Italy,279,Italy (mainland),-42.65,12.8166666,Europe
276,976,United Kingdom,282,Jersey,49.214439,-2.13125000000002,Europe
280,942,Italy,286,Pelagie Islands (and Pantelleria),35.676111,12.616389,Europe
281,287,Latvia,287,Latvia,56.879635,24.6031889999999,Europe
283,289,Lithuania,289,Lithuania,55.169438,23.881275,Europe
284,965,Spain,290,Llivia,42.4633899,1.98020129999998,Europe
285,976,United Kingdom,291,Lundy,51.183333,-4.6666666,Europe
286,292,Luxembourg,292,Luxembourg,49.815273,6.12958300000002,Europe
288,294,Malta,294,Malta,35.937496,14.375416,Europe
289,935,Finland,295,Malyj Vysotskij,-60.633333,28.5666666,Europe
290,935,Finland,296,Market Reef,60.3,19.133333,Europe
294,938,Greece,300,Mount Athos,40.2644928,24.2152731,Europe
295,301,Netherlands,301,Netherlands,52.132633,5.29126599999995,Europe
297,976,United Kingdom,303,Orkney Islands,59.0429125,-3.15421549999996,Europe
298,304,Poland,304,Poland,51.919438,19.145136,Europe
299,305,Portugal,305,Portugal,39.399872,-8.22445400000004,Europe
300,306,Romania,306,Romania,45.943161,24.96676,Europe
303,942,Italy,309,Sardinia,40.1208752,9.01289259999999,Europe
304,976,United Kingdom,310,Sark,49.4301912,-2.3609033999999802,Europe
305,976,United Kingdom,311,Scilly Isles,49.9166667,-6.33333330000005,Europe
306,976,United Kingdom,312,Scotland,56.4906712,-4.20264580000003,Europe
308,976,United Kingdom,314,Shetland Islands,60.5296507,-1.26594079999995,Europe
309,942,Italy,315,Sicily,37.5999938,14.0153557,Europe
310,316,Slovakia,316,Slovakia,48.669026,19.699024,Europe
311,317,Slovenia,317,Slovenia,46.151241,14.995463,Europe
313,965,Spain,319,Spain (Other),-40.85,-3.1666666,Europe
316,322,Sweden,322,Sweden,60.128161,18.643501,Europe
321,976,United Kingdom,328,Wales,52.1306607,-3.7837117000000298,Europe
322,264,France,329,Amsterdam Island (and St. Paul),-37.8331705,77.5504779,Antarctica-Subantarctic
330,976,United Kingdom,337,British Antarctic Territory (to S. Pole),-75.0,-71.15,Antarctica-Subantarctic
333,264,France,340,Crozet Islands,-46.4166667,51.0,Antarctica-Subantarctic
334,264,France,341,Adelie Land (to S. Pole),-75.0,140.0,Antarctica-Subantarctic
336,264,France,343,Kerguelen Islands,-49.3948275,69.3544626,Antarctica-Subantarctic
344,976,United Kingdom,351,South Georgia,-54.4306908,-36.7,Antarctica-Subantarctic
345,976,United Kingdom,352,South Orkney Islands,-60.583333,-45.5,Antarctica-Subantarctic
346,976,United Kingdom,353,South Sandwich Islands,-57.75,-26.5,Antarctica-Subantarctic
347,976,United Kingdom,354,South Shetland Islands,-62.0,-58.0,Antarctica-Subantarctic
359,965,Spain,366,Ceuta,35.8893874,-5.32134550000001,Africa
385,965,Spain,392,Melilla,35.2922775,-2.93809729999998,Africa
443,976,United Kingdom,450,British Indian Ocean Territory,-7.3346232,72.4242508,Indian Ocean
446,264,France,453,Europa Island,-22.3083275,40.3666667,Indian Ocean
448,264,France,455,Glorioso Islands,-11.5,47.3333333,Indian Ocean
