Age,Age_brackets,gender,state,country_name,location_name,region_name
68,60 or more,M,Florida,Denmark,Greenland,Atlantic Ocean
68,60 or more,M,Florida,United Kingdom,Tristan da Cunha,Atlantic Ocean
68,60 or more,M,Florida,United Kingdom,Ascension Island,Atlantic Ocean
68,60 or more,M,Florida,Greece,Greece (other),Europe
68,60 or more,M,Florida,Italy,Italy (mainland),Europe
68,60 or more,M,Florida,Spain,Euskadi (Basque Country),Europe
68,60 or more,M,Florida,United Kingdom,England,Europe
68,60 or more,M,Florida,Portugal,Madeira,Atlantic Ocean
68,60 or more,M,Florida,France,Reunion Island,Indian Ocean
68,60 or more,M,Florida,Malta,Malta,Europe
68,60 or more,M,Florida,Portugal,Portugal,Europe
68,60 or more,M,Florida,United Kingdom,St. Helena,Atlantic Ocean
68,60 or more,M,Florida,United Kingdom,British Indian Ocean Territory,Indian Ocean
68,60 or more,M,Florida,United Kingdom,Pitcairn Island,Pacific Ocean
56,From 49 to 59,M,New York,Denmark,Greenland,Atlantic Ocean
56,From 49 to 59,M,New York,Greece,Greece (other),Europe
56,From 49 to 59,M,New York,Spain,Euskadi (Basque Country),Europe
56,From 49 to 59,M,New York,United Kingdom,England,Europe
56,From 49 to 59,M,New York,Portugal,Madeira,Atlantic Ocean
56,From 49 to 59,M,New York,France,Reunion Island,Indian Ocean
56,From 49 to 59,M,New York,Malta,Malta,Europe
56,From 49 to 59,M,New York,Portugal,Portugal,Europe
56,From 49 to 59,M,New York,Czech Republic,Czech Republic,Europe
56,From 49 to 59,M,New York,Belgium,Brussels-Capital Region,Europe
56,From 49 to 59,M,New York,Spain,Madrid Autonomous Community,Europe
56,From 49 to 59,M,New York,France,Ile-de-France,Europe
56,From 49 to 59,M,New York,Spain,Canary Islands,Atlantic Ocean
56,From 49 to 59,M,New York,Netherlands,Netherlands,Europe
56,From 49 to 59,M,New York,United Kingdom,Shetland Islands,Europe
56,From 49 to 59,M,New York,United Kingdom,Caicos Islands,Atlantic Ocean
56,From 49 to 59,M,New York,Netherlands,Curacao,Caribbean
56,From 49 to 59,M,New York,Netherlands,Bonaire,Caribbean
