,user_id,post,location
0,3533,"<p>I visited Kashmir as part of a small group with the Travelers Century Club in October 2006. See my slideshow report at <a href=""https://www.donparrish.com/Kashmir.html"">www.donparrish.com/Kashmir.html</a><br />
<br />
Kashmir is an exceptional travel experience even for seasoned travelers. Like other places in the region the Monguls have left examples of beauty for us to enjoy hundreds of years later.</p>
","{'id': 506, 'Location': 'Jammu and Kashmir (except Ladakh)', 'RegionIDnew': 12, 'CountryId': 79, 'RegionName': 'Asia', 'Country': 'India', 'weather': 'global/stations/42027', 'weatherhist': '72024', 'active': 'Y', 'latitude': '-33.816666', 'longitude': '75.1833333', 'lat': 34.1490875, 'lon': 76.8259651999999, 'distance': 110, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 983, 'country_id': 496, 'region_name': 'Asia', 'country_name': 'India', 'location_name': 'Jammu and Kashmir (except Ladakh)', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '4XCCi6R7NX39Rw4UGGk3X3', 'airports': 'SXR, IXJ', 'visitors': 810, 'rank': 369, 'visitors_un': 0, 'rank_un': 0}"
1,3533,"<p>There is a report and a five-minute slideshow on my visit to St. Paul Island in August 2007 on my website at: <a href=""https://www.donparrish.com/StPaulIsland.html"">www.donparrish.com/StPaulIsland.html</a>.<br />
<br />
Visiting St. Paul Island is a fun adventure. After a two hour charter boat trip, you have to scale a 50 foot cliff using an old antenna to see the &quot;Governor&#39;s Mansion&quot;. The report on my website gives the details.</p>
","{'id': 137, 'Location': 'St. Paul Island, Nova Scotia', 'RegionIDnew': 2, 'CountryId': 31, 'RegionName': 'North America', 'Country': 'Canada', 'weather': 'global/stations/71707', 'weatherhist': '70717', 'active': 'Y', 'latitude': '-47.216666', 'longitude': '-60.166666', 'lat': 47.2046892, 'lon': -60.1508798, 'distance': 2, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 990, 'country_id': 920, 'region_name': 'North America', 'country_name': 'Canada', 'location_name': 'St. Paul Island, Nova Scotia', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '17qgCfTofDA5OPZukjEF37', 'airports': 'YQY', 'visitors': 218, 'rank': 159, 'visitors_un': 0, 'rank_un': 0}"
2,3533,"<p>There is a report and a three-minute tribute - a video slide show with music on my visit to Iwo Jima on March 14, 2007 on my website at: <a href=""https://www.donparrish.com/IwoJima2007.html"">www.donparrish.com/IwoJima2007.html</a>.<br />
<br />
Visiting Iwo Jima is difficult. Tourists can visit only one day a year during the Reunion of Honor. That is a ceremony attended by veterans of both the United States and Japan to honor the memories of their fallen comrades. It is the most emotionally charged visit I have made as a traveler. It was a high honor and a distinct privilege to visit Iwo Jima. There were about 20 MTP and TCC members who visited on March 14, 2007.</p>
","{'id': 51, 'Location': 'Ogasawara', 'RegionIDnew': 3, 'CountryId': 89, 'RegionName': 'Pacific Ocean', 'Country': 'Japan', 'weather': 'global/stations/47971', 'weatherhist': '17974', 'active': 'Y', 'latitude': '-25.866666', 'longitude': '141.833333', 'lat': 27.0943662, 'lon': 142.1919184, 'distance': 150, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 991, 'country_id': 943, 'region_name': 'Pacific Ocean', 'country_name': 'Japan', 'location_name': 'Ogasawara', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '2XfGPFitS5v0HelX0pzPmH', 'airports': 'HND', 'visitors': 125, 'rank': 99, 'visitors_un': 0, 'rank_un': 0}"
3,3533,"<p>With 4 other extreme travelers, I visited North Korea flying roundtrip from Beijing to Pyongyang. I have a full report at <a href=""https://www.donparrish.com/NorthKorea.html"" target=""_blank"">www.donparrish.com/NorthKorea.html</a></p>
","{'id': 512, 'Location': 'Korea, North', 'RegionIDnew': 12, 'CountryId': 94, 'RegionName': 'Asia', 'Country': 'Korea, North', 'weather': 'global/stations/47058', 'weatherhist': '85074', 'active': 'Y', 'latitude': '-40.633333', 'longitude': '127.1', 'lat': 40.633333, 'lon': 127.766922, 'distance': 230, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 6, 'region_id': 983, 'country_id': 512, 'region_name': 'Asia', 'country_name': 'Korea, North', 'location_name': 'Korea, North', 'is_un': 1, 'is_mtp_location': 1, 'admin_level': 2, 'featured_img': '52iczm73GRGcYaUx36Hd9R', 'airports': 'FNJ', 'visitors': 1158, 'rank': 442, 'visitors_un': 1158, 'rank_un': 50}"
4,3533,"<p>There is a report and a five-minute slideshow on my visit to Market Reef in May 2007 on my website at: <a href=""https://www.donparrish.com/MarketReef.html""><span style=""color:#2980b9""><u>www.donparrish.com/MarketReef.html</u></span></a>.<br />
<br />
This report will help you figure out how to visit this unique place via a 15- minute helicopter flight. There are 76 photos in my slideshow including a series of photos from the air. I had a wonderful one-hour visit.</p>
","{'id': 296, 'Location': 'Market Reef', 'RegionIDnew': 7, 'CountryId': 62, 'RegionName': 'Europe', 'Country': 'Finland', 'weather': 'global/stations/02993', 'weatherhist': '39920', 'active': 'Y', 'latitude': '-60.3', 'longitude': '19.1333333', 'lat': 60.3, 'lon': 19.133333, 'distance': 1, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 987, 'country_id': 935, 'region_name': 'Europe', 'country_name': 'Finland', 'location_name': 'Market Reef', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '4MluDcp5f2TzI1Kl7EJoL', 'airports': 'MHQ', 'visitors': 288, 'rank': 195, 'visitors_un': 0, 'rank_un': 0}"
5,3533,"Tromelin is the smallest of the 4 Scattered Islands I visited.  It is anoval shaped island about 1600 meters (one mile) long and 700 meters(less than half a mile) wide.  It is covered by many low attrative bushesthat the boobies like to nest in.  At the highest end - only 7 meters -is a weather station, a substantial concrete building designed towithstand cyclones which typically hit the island every 3 years.  Thereare 40 or 50 coconut trees around the weather station.  These are theonly trees on the island.There were 6 or 7 people living here: a few weathermen and a fewnaturalists studying birds and turtles.  Unlike the other scattered French islands in the Indian Ocean there is no military presence.The other major features of the island is that it is shaped like asaucer with a depression in the middle so you have an unobstructed viewacross the island as you walk the path that circumnavigates it.  Thelanding strip fits perfectly lengthwise on the island.Finally, there is no reef or lagoon so the waves come crashing into theisland.  It is dangerous to swim because sharks can come almost to theshore.  Basically, the island is a coral reef above the ocean so all yousee is coral and some sand.  Half of the beach is rocky.The main attraction on the island are 2 species of boobies: thered-footed boobie and the masked boobie.  They are fairly comfortablewith people so you can come within 10 meters.  There are some otherbirds as well.The total number of turtle tracks is about 4,000 a year and the peak dayis about 20.  This was surprising to me because of limited sand beaches.In contrast, the Glorioso Islands have superb sand beachs for turtles.Since a female turtle can lay eggs every 12 days for 3 to 7 times.  Thismeans that less than 1000 turtles a year visit Tromlein.The French eradicated the rats in 2005, but there are still some mice.At the weather station there are hundreds and hundreds of hermit crabs.Frequently, one crab will do a take down move on another crab thatusually defends itself successfully for the 5 minutes of the attack, butit can end in canabalism.In the Wikipedia article on Tromelin, one can read the story of theshipwreched slaves in 1761.  We viewed the anchor of the ship at lowtide and 5 of the cannons are still on the beach after all these years!!The journalists on board waded into the ocean to see the other 8 cannonsjust 4 meters off the beach.All of the tourists enjoyed our one day stay on Tromelin and boarded thehelicopter at the end of the day in our usual fashion to return to the Marion Dufresne.Since there is no Gendarme on the island, the ships doctor stamped all ofour passports.","{'id': 469, 'Location': 'Tromelin Island', 'RegionIDnew': 11, 'CountryId': 63, 'RegionName': 'Indian Ocean', 'Country': 'France', 'weather': 'global/stations/61976', 'weatherhist': '67916', 'active': 'Y', 'latitude': '15.8833333', 'longitude': '54.5166666', 'lat': -15.8666667, 'lon': 54.4166666999999, 'distance': 1, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 988, 'country_id': 264, 'region_name': 'Indian Ocean', 'country_name': 'France', 'location_name': 'Tromelin Island', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '1MHnYCcbHaKJn3IiJvSHld', 'airports': 'RUN', 'visitors': 22, 'rank': 12, 'visitors_un': 0, 'rank_un': 0}"
6,3533,"Buenos Aires is a lovely European city. My first visit was 35 years ago, and this is my third visit.December 1, 2008 was the 95th anniversary of Subte, as the subway is called here. Buenos Aires had the first subway in South America and the 13th in the world.I visited the grave of Evita Peron. It is located in the famous Recoleta Cemetery where many of the notable people in Argentina are interred. As you can see from the photo, there are flowers on the grave.The cemetery is an art lover&apos;s paradise and is really a must-visit site in Buenos Aires.","{'id': 750, 'Location': 'Buenos Aires (City)', 'RegionIDnew': 5, 'CountryId': 7, 'RegionName': 'South America', 'Country': 'Argentina', 'weather': 'global/stations/87582', 'weatherhist': '28578', 'active': 'Y', 'latitude': '34.6', 'longitude': '-58.45', 'lat': -34.6037232, 'lon': -58.3815931, 'distance': 6, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 8, 'region_id': 992, 'country_id': 163, 'region_name': 'South America', 'country_name': 'Argentina', 'location_name': 'Buenos Aires (City)', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '1KN1hmoED77lFtNbd95f4v', 'airports': 'AEP, EZE', 'visitors': 5622, 'rank': 787, 'visitors_un': 0, 'rank_un': 0}"
7,3533,"There is a report and a six-minute slideshow on my visit to Sable Island in August 2007 on my website at: <a href=""http://www.donparrish.com/SableIsland.html""><span style=""text-decoration: underline;"">www.donparrish.com/SableIsland.html</span></a>. <br><br>Sable Island exceeded my expectations. It is very educational to visit both for the scientific experiments and wild horses. We took a 90 minute charter flight from Halifax. There are links in my report to help you plan a visit.","{'id': 136, 'Location': 'Sable Island', 'RegionIDnew': 2, 'CountryId': 31, 'RegionName': 'North America', 'Country': 'Canada', 'weather': 'global/stations/71600', 'weatherhist': '00617', 'active': 'Y', 'latitude': '-43.933333', 'longitude': '-59.916666', 'lat': 43.9337207, 'lon': -59.9149138, 'distance': 12, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 7, 'region_id': 990, 'country_id': 920, 'region_name': 'North America', 'country_name': 'Canada', 'location_name': 'Sable Island', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '14zLRm8ljEoO9QJYHAe2Fp', 'airports': 'YSA', 'visitors': 91, 'rank': 77, 'visitors_un': 0, 'rank_un': 0}"
0,1,"The Chesterfield Islands are a remote island group nearly halfway between New Caledonia and Australia.  For a few years, I searched for a way to cross between the two, in order to visit Mellish Reef and Chesterfields on the same run but it was too expensive and logistically challenging, due to distance, fuel, and customs requirements.  Finally, I agreed to charter a sportfishing boat, the Quo Vadis, through Pacific Charters in Noumea.<br><br>Quo Vadis is skippered by Olivier Quach, an interesting and accomplished Caledonian of Vietnamese descent.  Direct booking can be made through their family business Powercat Charter (www.powercat-charter.com).  Olivier's brother Gerald is a bodybuilder who was previously ""Mister New Caledonia"", and his friend Michel was a Pacific spearfishing champion.<br><br>We departed Koumac on the northern tip of the mainland the night of 11 December, 2004, and were among the Chesterfields 36 hours later.  Along the way we caught a swordfish, mahi mahi, and a parrotfish, as well as lobster in the lagoon (there was one other fishing boat in the lagoon while we were there).<br><br>We landed on Ile du Loop - the southernmost of the Chesterfields, which we knew to have a marker suitable for a photo, but just in case, the Quach brothers had created a handmade sign reading ""Welcome to Chesterfields"".  Ile du Loop was absolutely covered with red-footed boobys, and it was here that I realized the derivation of ""booby-trap"".  Boobies dig nests in the sandy scrub, then camouflage the holes with brush, creating a dangerous zone for walking, with the potential for broken legs at every step!<br><br>After a fabulous sashimi and lobster dinner, we set out for Noumea at sunset, arriving 36 hours later to catch high tide through the passage into Koumac.  A highlight of the subsequent week in Noumea was dinner at Chez Quach 3 nights later.  Many Vietnamese spring rolls and much American whiskey was consumed that night to celebrate our successful Chesterfields expedition.","{'id': 8, 'Location': 'Chesterfield Islands', 'RegionIDnew': 3, 'CountryId': 63, 'RegionName': 'Pacific Ocean', 'Country': 'France', 'weather': 'global/stations/91574', 'weatherhist': '47519', 'active': 'Y', 'latitude': '19.75', 'longitude': '158.35', 'lat': -19.35, 'lon': 158.666667, 'distance': 17, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 6, 'region_id': 991, 'country_id': 264, 'region_name': 'Pacific Ocean', 'country_name': 'France', 'location_name': 'Chesterfield Islands', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '1mtbkD1ydm65elv4F2ASwn', 'airports': 'NOU', 'visitors': 16, 'rank': 9, 'visitors_un': 0, 'rank_un': 0}"
1,1,"Annobon has an airport (a runway, anyway). There is a flight from Malabo (SSG) most Saturdays on the airline GEASA, although this is unpredictable. On the Friday I investigated this, no one at the Malabo airport knew anything about flights to Annobon, yet the next morning, check-in was happening, with a cardboard sign for Annobon taped above the counter. Domestic airline executives and pilots in Equatorial Guinea are nearly all Kazakh Russians, and the executive in charge at GEASA is Misha, whose cellphone is local number 203 283. This seems to be the only way to get good flight information or reserve a ticket. The price is negotiable - cash only, of course - because there are no seats on the Antonov aircraft. Passengers climb in the cargo hold from the rear and sit on boxes or on the floor... Prior to flying, one must obtain a permit from the Department of the Interior in Malabo. Without this permit, a foreigner will be detained by police at the Annobon airstrip and asked to return on the same aircraft.","{'id': 357, 'Location': 'Annobon', 'RegionIDnew': 9, 'CountryId': 55, 'RegionName': 'Africa', 'Country': 'Equatorial Guinea', 'weather': 'global/stations/61931', 'weatherhist': '13916', 'active': 'Y', 'latitude': '1.43333', 'longitude': '5.61667', 'lat': -1.4221087, 'lon': 5.61951120000003, 'distance': 99, 'dateUpdated': '2018-08-02 14:48:00', 'zoom': 6, 'region_id': 981, 'country_id': 932, 'region_name': 'Africa', 'country_name': 'Equatorial Guinea', 'location_name': 'Annobon', 'is_un': 0, 'is_mtp_location': 1, 'admin_level': 4, 'featured_img': '2JGTNHGdpK8WXAmXTYFt41', 'airports': 'SSG', 'visitors': 49, 'rank': 37, 'visitors_un': 0, 'rank_un': 0}"
