,user_id,post,location
0,3671,"I lived in Guam for two years and still look back on my experiences on that lovely island to this day after leaving a decade ago.  I lived on Andersen, the air force base on the northern part of the island. My favorite places I visited were Two Lovers Point, Tarzan Falls, Mt. Lamlam, and Tweed&apos;s Cave. The beaches were so beautiful and the local Chamorro culture was also interesting.  I would love to go back some day and revisit the sites of my childhood someday.",20
0,42393,"<p>test</p>

<p>test</p>

<p>test</p>
",89
0,15793,"TUBAC, ARIZONA.<br>Over the weekend I was in Tubac, a small town in southern Arizona located in the Santa Cruz River Valley. It has a little over two centuries of Spanish influence/ history. From Tucson it is about an hour's drive and twenty minutes from Nogales. Tubac is an unspoiled town with great hiking, birding, mountain biking and an incredible golf course. It depends on tourism and is a little on the expensive side if you ask me, but a great place to visit if you find yourself in these parts.",86
0,6178,,21
0,1,"The Chesterfield Islands are a remote island group nearly halfway between New Caledonia and Australia.  For a few years, I searched for a way to cross between the two, in order to visit Mellish Reef and Chesterfields on the same run but it was too expensive and logistically challenging, due to distance, fuel, and customs requirements.  Finally, I agreed to charter a sportfishing boat, the Quo Vadis, through Pacific Charters in Noumea.<br><br>Quo Vadis is skippered by Olivier Quach, an interesting and accomplished Caledonian of Vietnamese descent.  Direct booking can be made through their family business Powercat Charter (www.powercat-charter.com).  Olivier's brother Gerald is a bodybuilder who was previously ""Mister New Caledonia"", and his friend Michel was a Pacific spearfishing champion.<br><br>We departed Koumac on the northern tip of the mainland the night of 11 December, 2004, and were among the Chesterfields 36 hours later.  Along the way we caught a swordfish, mahi mahi, and a parrotfish, as well as lobster in the lagoon (there was one other fishing boat in the lagoon while we were there).<br><br>We landed on Ile du Loop - the southernmost of the Chesterfields, which we knew to have a marker suitable for a photo, but just in case, the Quach brothers had created a handmade sign reading ""Welcome to Chesterfields"".  Ile du Loop was absolutely covered with red-footed boobys, and it was here that I realized the derivation of ""booby-trap"".  Boobies dig nests in the sandy scrub, then camouflage the holes with brush, creating a dangerous zone for walking, with the potential for broken legs at every step!<br><br>After a fabulous sashimi and lobster dinner, we set out for Noumea at sunset, arriving 36 hours later to catch high tide through the passage into Koumac.  A highlight of the subsequent week in Noumea was dinner at Chez Quach 3 nights later.  Many Vietnamese spring rolls and much American whiskey was consumed that night to celebrate our successful Chesterfields expedition.",8
1,1,"Annobon has an airport (a runway, anyway). There is a flight from Malabo (SSG) most Saturdays on the airline GEASA, although this is unpredictable. On the Friday I investigated this, no one at the Malabo airport knew anything about flights to Annobon, yet the next morning, check-in was happening, with a cardboard sign for Annobon taped above the counter. Domestic airline executives and pilots in Equatorial Guinea are nearly all Kazakh Russians, and the executive in charge at GEASA is Misha, whose cellphone is local number 203 283. This seems to be the only way to get good flight information or reserve a ticket. The price is negotiable - cash only, of course - because there are no seats on the Antonov aircraft. Passengers climb in the cargo hold from the rear and sit on boxes or on the floor... Prior to flying, one must obtain a permit from the Department of the Interior in Malabo. Without this permit, a foreigner will be detained by police at the Annobon airstrip and asked to return on the same aircraft.",357
2,1,"My friend Misha and I drove in a rented Land Rover from Moscow to Vladivostok in 2007, with many twists and turns along the way.  The road from Abakan to Kyzyl, the capital of Tuva, was surprisingly good, and we enjoyed the spectacular overlooks of mountains, fields, and forests.  However, based on the map, we misjudged the size of a prospective ""town"" near the border, and shuddered to a stop right at the border marker to Tuva, completely out of fuel.  Fortunately, some berry-pickers selling their wares by the roadside allowed us to siphon some of their petrol - enough to make it to Kyzyl.  We had beaten up our car enough not to care that the petrol from their old Lada was 80 octane, when ours was supposed to be 95 octane!",558
3,1,"On August 6, ten people left Apia, Samoa on a one-off expedition on the R/V Bounty Bay. There were 3 Fijian crew, 3 scientists (including Jim Maragos, a leading coral reef specialist and manager for the US Fish and Wildlife Service), and 4 paying passengers/tourists (including myself). This was one of the few voyages ever to bring civilians to Baker and Howland Islands.</p><p>The Bounty Bay was an slow and uncomfortable catamaran, with bunks along the wall in each pontoon. There was very little airflow below, which made for many miserable hours onboard.</p><p>We reached Baker Island after 15 days at sea, and made a beach landing from an inflatable zodiac. Because there had been substantial US Military activity there in WWII, the reef was blasted away in a couple of spots, so landing and departing was relatively easy (especially compared to Howland). The island was more or less oval-shaped, with a 20m crushed coral beach rising about 5 meters to a grassy interior filled with birds. The runway had crossed the island on a east-west orientation, but the entire interior of the island was overgrown, making the exact runway location difficult to assess (especially since we were asked not to walk on the interior). However, six radio towers remained standing at what looked to be the east (windward) end of the runway.</p><p>Three of the passengers walked around the perimeter of Baker, finding hermit crabs, spiders, birds, and a the odd lizard or two, as well as the ruins of two American landing craft. The day beacon which stood approximately 20 feet tall was filled with hermit crabs, as was nearly any other shady spot on the island!</p><p>Howland Island is less than 40 miles from Baker, but differs in several ways: First, it is long and thin, and oriented north-south, so is suitable only for a very short runway, as the prevailing trade winds are east-west. Although a runway was prepared on Howland for Amelia Earhart's arrival, there is no evidence of its location, and it is very difficult to understand why Howland would have been chosen over Baker as a suitable landing spot for an airplane. In fact, no airplane has ever landed on Howland Island, although an American seaplane crashed near the island long ago and sits in pieces on the shore.</p><p>Secondly, Howland was never settled extensively, so retains its full surrounding reef, and accompanying surf break. Whereas landing over the reef on the leeward side in the direction of the surf is normally possible, departing through the break is very difficult, even at high tide. Our party had significant problems navigating an inflatable zodiac through the break, because of the strength of the break, and the sharp, irregular coral. Three strong men were whipped around like rag dolls, our legs scraped and cut, and I was at point forced under the boat. This because two people in the party could not swim, and had to be transported by boat. It would have been much easier, although dangerous in itself, to swim through the break.</p><p>Because of the difficulties in that departure, a decision was made to postpone further rescues until high tide. Therefore two of the landing party were stranded on the island for 9 hours, resulting in extensive sunburn.</p><p>As for nature on the island, birdlife on Howland is thriving as it is on Baker. Hermit crabs and lizards are also present, although less numerous than on Baker. Howland also has several low scrub trees (about 10' tall), while Baker has none. These trees do not provide shade, however, as their leaves are sparse, and they are filled with nesting boobies. Earhart Light is the major landmark, and, although not functional, is in relatively good condition.</p><p>Prior to landing on both Baker and Howland Island, FWS asked that all passengers deep-clean their clothes (including shoes), then place them in a freezer for 24 hours. This was to prevent the introduction into these pristine environments of alien organisms such as seeds or bacteria</p>",4
4,1,"I arrived unexpectedly to Pitcairn today, due to a faulty engine on the Bounty Bay.  Fellow MTP travelers Veikko Huhtala, Oili Liutu, and Elliot Koch are here for the first time, whereas this is my second visit.  I&apos;ve been surprised to find internet and fast phone service, flush toilets, and extended pavement, all of which is new in the last 7 years since I was here.  We are stranded indefinitely until the engine is fixed, but still hope to visit Ducie, Henderson and Oeno on this trip.  The voyage has had several twists and turns which will be documented later; we have only been away for 2 days, and have had about 4 changes of plan!",57
5,1,"Swains Island is one of the furthest outposts of the United States. Roughly 200 nautical miles north of Apia, Samoa, Swains is a single coral island containing a relatively large freshwater lagoon. Swains has been run since the 19th century by the Jennings Family, who send a representative to sit in the American Samoan Territorial Legislature.</p><p>On the M/V Bounty Bay&apos;s August 2008 Central Pacific Expedition, we met Alexander Jennings, the current representative, on the beach at Swains Island for all of about 5 minutes. This was because, as we arrived (bringing 2 passengers to caretake on Swains), the entire population of the island was evacuating! A pregnant woman was being moved to hospital, and all of the others (only 9 people at the time) decided they would come too.</p><p>Swains was hurt badly by Cyclone Percy in 2005, and the population has decreased since then. Alexander Jennings spoke to us of his plans for expansion and tourism on the island, which did not look promising given his rapid departure! A simple church was the only building left standing in the main village following Percy&apos;s passage, although other buildings including at least 2 residences have been repaired, and two new buildings constructed. A communications building with high surrounding wall was under construction at the time of our visit (Currently, the only outside communication capability on the island is a single-sideband radio left behind by a ham radio expedition). All of these buildings are positioned around a wide grassy clearing 100M from the beach.</p><p>Prior to his departure, Alex Jennings gave us the keys to the island&apos;s only vehicle, a white pickup truck, so that we could more easily reach the other side of the island. Four of us drove through the island&apos;s sole jungle trail to the opposite beach, site of the former copra plantation manager&apos;s family house, which was now falling down. We also visited the freshwater lagoon, and wondered at Alex&apos;s claim that a seaplane could land there and bring tourists. We thought the lagoon a bit small for that.</p><p>During the time we were exploring ashore, our two caretaker friends were boiling coconut crabs, which had been caught and saved for our visit. We ate them later onboard, as we made our way towards Nukunonu, Tokelau. Although the Tokelau government considers Swains part of their country, Alex Jennings said nothing about the issue except that he hoped for increased trade with Tokelau.</p><p>It is interesting to note that, while it took the Bounty Bay 36 hours to cross from Apia to Swains, the charter transport for the islanders covered the same distance in 9 hours, or 4 times our speed. This was one of our first indications that we were in for a long and tiring voyage across the Central Pacific!</p>",680
